,repo_name,star,fork,watch,issue,tags,description,contributers,license,repo_url,most_used_lang
1104,bootstrapper,2,1,2,0,[],A Rails plugin to assist in bootstrapping and seeding your database.,1,mit,https://github.com/technicalpickles/bootstrapper.git,Ruby
1105,bootswatch,0,0,0,0,[],Themes for Bootstrap,30,mit,https://github.com/technicalpickles/bootswatch.git,
1106,bostonrb,3,1,3,0,[],Website for bostonrb.org,2,,https://github.com/technicalpickles/bostonrb.git,Ruby
1107,botkit-helper-slack,0,0,0,0,[],:loudspeaker: Functions for helping your Slack bot get its point across. ,0,mit,https://github.com/technicalpickles/botkit-helper-slack.git,JavaScript
1108,bridge_troll,0,0,0,0,[],Event management system for RailsBridge,30,,https://github.com/technicalpickles/bridge_troll.git,Ruby
1109,brigade,0,0,0,0,[],Brigade Platform,29,bsd-3-clause,https://github.com/technicalpickles/brigade.git,Ruby
1110,bringing-vim-to-the-people,2,1,2,0,[],"An lo, on the fourth day he did step down from the mountain, and with him VIM did follow . . . .",2,,https://github.com/technicalpickles/bringing-vim-to-the-people.git,VimL
1111,bundler,2,1,2,0,[],Gemfiles are fun,21,mit,https://github.com/technicalpickles/bundler.git,Ruby
1112,calais,3,1,3,0,[],A Ruby interface to the Open Calais API (http://opencalais.com),4,mit,https://github.com/technicalpickles/calais.git,Ruby
1113,call_for_proposals_2013,0,0,0,0,[],2013 conference call for proposals,5,,https://github.com/technicalpickles/call_for_proposals_2013.git,
1114,can_flag,3,1,3,0,[],flag content as inappropriate,3,mit,https://github.com/technicalpickles/can_flag.git,Ruby
1115,capistrano,1,1,1,0,[],Remote multi-server automation tool,30,,https://github.com/technicalpickles/capistrano.git,Ruby
1116,capistrano-benchmark,8,5,8,1,[],Benchmarking for capistrano tasks,4,mit,https://github.com/technicalpickles/capistrano-benchmark.git,Ruby
1117,capistrano-campfire,20,6,20,1,[],A tiny shim for using campfire from capistrano,5,mit,https://github.com/technicalpickles/capistrano-campfire.git,Ruby
1118,capistrano-gitflow,105,22,105,0,[],Capistrano recipe for a deployment workflow based on git tags,7,,https://github.com/technicalpickles/capistrano-gitflow.git,Ruby
1119,.doom.d,0,0,0,0,[],My Doom Emacs configuration,1,,https://github.com/lazyatom/.doom.d.git,Emacs Lisp
1120,a2_printer,18,17,18,1,[],A ruby gem for talking to a small thermal printer,2,,https://github.com/lazyatom/a2_printer.git,Ruby
